,Unnamed: 0,confidence,start_second,text,sentiment_score,key_phrases
0,0,0.8129529,0,everyone,0.5,[u'']
1,1,0.9130716,10000,OK nice guys that we have some time discussing the hackathon,0.989984360451,"[u'time', u'OK nice guys']"
2,2,0.0,100000,,0.5,[u'NaN']
3,3,0.7781795,105000,your blaming me now as well,0.159642515534,[u'']
4,4,0.7739217,110000,your blaming me now as well,0.159642515534,[u'']
5,5,0.0,115000,,0.5,[u'NaN']
6,6,0.0,120000,,0.5,[u'NaN']
7,7,0.0,125000,,0.5,[u'NaN']
8,8,0.0,130000,,0.5,[u'NaN']
9,9,0.0,135000,,0.5,[u'NaN']
10,10,0.0,140000,,0.5,[u'NaN']
11,11,0.7933611,145000,ever tried <profanity>fucking</profanity> javascript,0.5,"[u'profanity', u'javascript']"
12,12,0.8835649,15000,do that we have some time discussing at the hackathon,0.5,"[u'time', u'hackathon']"
13,13,0.7912241,150000,ever tried <profanity>fucking</profanity> javascript,0.5,"[u'profanity', u'javascript']"
14,14,0.8232164,155000,modern javascript with reacting <profanity>shit</profanity> yet,0.710486390647,"[u'profanity', u'modern javascript']"
15,15,0.8622977,160000,rubs in dayton <profanity>shit</profanity> nightmare so tell me what what did you achieve them,0.5,"[u'profanity', u'dayton', u'nightmare']"
16,16,0.8336008,165000,nightmare so tell me what what did you achieve then the second,0.5,[u'nightmare']
17,17,0.9508604,170000,that's one thing I did,0.5,[u'thing']
18,18,0.9350249,175000,that's one thing I did,0.5,[u'thing']
19,19,0.4811429,180000,things,0.5,[u'things']
20,20,0.8031654,185000,things at least someone is kind,0.882820451511,[u'things']
21,21,0.8039301,190000,oh are you do I thought we needed some angry motions for our emotions,0.106116766393,"[u'emotions', u'angry motions']"
22,22,0.7696066,195000,that we need some angry motions for our emotions,0.0746515727877,"[u'emotions', u'angry motions']"
23,23,0.62484,20000,go for ya,0.5,[u'ya']
24,24,0.0,200000,,0.5,[u'NaN']
25,25,0.0,205000,,0.5,[u'NaN']
26,26,0.6183394,210000,prising emotions,0.5,[u'prising emotions']
27,27,0.6032288,215000,rising emotions,0.5,[u'rising emotions']
28,28,0.7890311,220000,oh what no way <profanity>fuck</profanity> man,0.178033904259,"[u'profanity', u'fuck', u'way']"
29,29,0.7538993,225000,wave <profanity>fuck</profanity> man's krumrei how did you come up with it already taken,0.5,"[u'profanity', u'fuck', u'man', u'krumrei']"
30,30,0.7859311,230000,who is it already taken,0.5,[u'']
31,31,0.8809087,235000,and um do we feel confident about presentation do we need someone out,0.780131544795,[u'presentation']
32,32,0.898075,240000,I'm do we feel confident about presentation do we need someone else that will like to do the whole group and stuff for with,0.80089273702,"[u'presentation', u'group', u'stuff']"
33,33,0.5960014,245000,moving stuff,0.5,[u'stuff']
34,34,0.0,25000,,0.5,[u'NaN']
35,35,0.0,250000,,0.5,[u'NaN']
36,36,0.0,255000,,0.5,[u'NaN']
37,37,0.0,260000,,0.5,[u'NaN']
38,38,0.0,265000,,0.5,[u'NaN']
39,39,0.0,270000,,0.5,[u'NaN']
40,40,0.9248662,275000,I think the people that actually know what about should be there,0.5,[u'people']
41,41,0.0,280000,,0.5,[u'NaN']
42,42,0.0,285000,,0.5,[u'NaN']
43,43,0.0,290000,,0.5,[u'NaN']
44,44,0.0,295000,,0.5,[u'NaN']
45,45,0.0,30000,,0.5,[u'NaN']
46,46,0.0,300000,,0.5,[u'NaN']
47,47,0.8494509,305000,as long as everyone started back each other up at the same time gif like a big mama,0.5,"[u'big mama', u'time gif']"
48,48,0.9281954,310000,hours about how things work,0.5,[u'hours']
49,49,0.7981557,315000,hours about how things work until then I think we find,0.5,"[u'hours', u'things']"
50,50,0.8117597,320000,what do we do with the price and with all the exit,0.5,"[u'price', u'exit']"
51,51,0.7590259,325000,prize in with,0.928630045729,[u'prize']
52,52,0.0,330000,,0.5,[u'NaN']
53,53,0.0,335000,,0.5,[u'NaN']
54,54,0.0,340000,,0.5,[u'NaN']
55,55,0.7888513,345000,I think we should all bring it to you,0.787907501312,[u'']
56,56,0.0,35000,,0.5,[u'NaN']
